action,collection_title,current_handle,new_handle,products,priority,seo_title,seo_description
rename,Seasonal - Ramadan & Eid,ramadan-eid,personalised-ramadan-calendars,13,Critical,,
rename,Events - Sports Events,events-sports-events,promotional-sports-giveaways,7,Critical,,
rename,Chocolate - Advent Calendars,chocolate-advent-calendars,personalised-advent-calendars,4,Critical,,
rename,Sweets - Lollipops,sweets-lollipops,branded-lollipops,4,Critical,,
rename,Sweets - Mints,sweets-mints,printed-mint-tins,3,Critical,,
rename,Seasonal,seasonal,seasonal-promotional-confectionery,150,High,,
rename,Chocolate,chocolate,personalised-chocolate,61,High,,
rename,Seasonal - Christmas,seasonal-christmas,promotional-christmas-gifts,51,High,,
rename,Sweets,sweets,promotional-sweets,36,High,,
rename,Chocolate - Shapes & Novelties,chocolate-shapes-novelties,promotional-moulded-chocolate-shapes,28,High,,
rename,Dietary - Vegan,dietary-vegan,promotional-vegan-sweets,16,High,,
rename,Chocolate - Bars,chocolate-bars,personalised-chocolate-bars,10,High,,
rename,Snacks - Crisps & Chips,snacks-crisps-chips,branded-crisps-and-snack-tubes,8,High,,
rename,Snacks - Popcorn,snacks-popcorn,promotional-popcorn,7,High,,
rename,Drinks - Coffee,drinks-coffee,promotional-coffee-sachets,2,High,,
rename,Food & Pantry,food-pantry,branded-food-and-pantry,2,High,,
rename,Seasonal - Easter,seasonal-easter,promotional-easter-gifts,38,Med,,
rename,Branded Merchandise & Packaging,branded-merchandise-packaging,promotional-merchandise-and-packaging,37,Med,,"Branded merchandise and custom promotional packaging. Printed boxes, bags and gift presentation, plus full fulfilment services."
rename,Branded Merchandise & Packaging - Merchandise,branded-merchandise-packaging-merchandise,branded-merchandise,37,Med,,"Branded merchandise to pair with your confectionery — printed goods sourced, produced and delivered from one UK supplier."
rename,Events,events,promotional-gifts-for-events,34,Med,,
rename,Snacks,snacks,promotional-snacks,24,Med,,
rename,Drinks,drinks,promotional-drinks,24,Med,,
rename,Sweets - Gums & Jellies,sweets-gums-jellies,promotional-jelly-sweets,22,Med,,
rename,Drinks - Tea,drinks-tea,branded-tea-sachets,17,Med,,
rename,Dietary,dietary,vegan-and-free-from-promotional-sweets,16,Med,,
rename,Chocolate - Assorted,chocolate-assorted,personalised-assorted-chocolate-boxes,15,Med,,
rename,Biscuits & Cakes,biscuits-cakes,promotional-biscuits-and-cakes,15,Med,,
rename,Biscuits & Cakes - Biscuits & Cookies,biscuits-cakes-biscuits-cookies,branded-biscuits-and-cookies,14,Med,,
